date,Climbing,Bouldering,La Sportiva,Scarpa
2015-01-01,19,23,21,47
2015-02-01,18,25,22,43
2015-03-01,19,24,21,40
2015-04-01,22,29,17,40
2015-05-01,21,27,18,38
2015-06-01,20,26,18,32
2015-07-01,20,24,19,30
2015-08-01,20,27,24,39
2015-09-01,17,24,20,37
2015-10-01,18,24,22,42
2015-11-01,16,23,26,47
2015-12-01,15,23,24,47
2016-01-01,18,27,27,53
2016-02-01,21,29,25,45
2016-03-01,23,31,25,45
2016-04-01,23,32,24,44
2016-05-01,22,31,23,39
2016-06-01,20,28,21,34
2016-07-01,21,31,24,38
2016-08-01,23,32,24,38
2016-09-01,19,29,24,42
2016-10-01,19,30,25,43
2016-11-01,16,24,30,55
2016-12-01,15,25,29,53
2017-01-01,19,30,29,55
2017-02-01,22,35,33,70
2017-03-01,22,37,30,45
2017-04-01,25,40,27,43
2017-05-01,23,33,30,40
2017-06-01,23,30,22,34
2017-07-01,22,34,24,41
2017-08-01,23,33,26,43
2017-09-01,19,31,27,44
2017-10-01,21,35,29,47
2017-11-01,18,33,33,53
2017-12-01,16,29,33,54
2018-01-01,20,36,33,61
2018-02-01,22,39,34,54
2018-03-01,21,34,32,55
2018-04-01,25,41,33,51
2018-05-01,24,36,26,39
2018-06-01,23,31,26,35
2018-07-01,21,36,23,33
2018-08-01,24,37,30,48
2018-09-01,20,38,33,50
2018-10-01,20,35,29,51
2018-11-01,19,33,36,55
2018-12-01,18,33,32,56
2019-01-01,22,41,33,61
2019-02-01,25,45,35,54
2019-03-01,27,50,37,54
2019-04-01,30,54,39,53
2019-05-01,29,47,35,49
2019-06-01,25,47,37,51
2019-07-01,26,50,39,42
2019-08-01,26,56,38,48
2019-09-01,22,42,37,48
2019-10-01,22,45,36,52
2019-11-01,19,40,40,60
2019-12-01,19,38,42,56
2020-01-01,22,49,40,64
2020-02-01,24,49,40,55
2020-03-01,20,29,28,37
2020-04-01,24,14,22,27
2020-05-01,25,22,26,32
2020-06-01,22,24,27,38
2020-07-01,22,27,33,46
2020-08-01,24,35,40,52
2020-09-01,23,36,42,61
2020-10-01,20,36,39,66
2020-11-01,15,27,35,69
2020-12-01,15,24,39,76
2021-01-01,14,12,37,83
2021-02-01,16,12,33,66
2021-03-01,21,14,31,52
2021-04-01,27,29,35,55
2021-05-01,27,37,43,63
2021-06-01,26,37,36,45
2021-07-01,26,45,35,46
2021-08-01,35,62,38,53
2021-09-01,21,38,34,50
2021-10-01,21,38,39,64
2021-11-01,18,36,40,65
2021-12-01,17,32,46,70
2022-01-01,24,51,66,83
2022-02-01,26,52,59,72
2022-03-01,23,47,54,63
2022-04-01,27,52,51,61
2022-05-01,25,49,51,55
2022-06-01,24,47,42,51
2022-07-01,23,47,43,51
2022-08-01,25,57,41,53
2022-09-01,22,47,48,53
2022-10-01,22,51,49,65
2022-11-01,20,47,48,76
2022-12-01,18,39,50,91
2023-01-01,22,55,58,100
2023-02-01,25,58,51,68
2023-03-01,24,55,54,70
2023-04-01,28,58,57,69
2023-05-01,27,53,55,58
2023-06-01,25,48,49,49
2023-07-01,25,54,52,59
2023-08-01,25,57,52,67
2023-09-01,21,49,50,62
2023-10-01,21,52,52,71
2023-11-01,19,46,62,86
2023-12-01,19,47,57,82
2024-01-01,22,50,67,87
2024-02-01,27,57,69,74
2024-03-01,23,58,68,74
2024-04-01,27,63,69,74
2024-05-01,26,57,62,63
2024-06-01,23,52,55,56
2024-07-01,25,54,59,55
2024-08-01,100,100,65,61
2024-09-01,23,55,71,72
2024-10-01,22,59,70,77
2024-11-01,19,47,69,85
2024-12-01,20,54,70,84
2025-01-01,21,55,79,90
2025-02-01,22,55,76,79
2025-03-01,24,49,83,70
2025-04-01,25,53,75,64
2025-05-01,27,48,69,57
2025-06-01,25,47,64,56
2025-07-01,24,51,65,57
2025-08-01,24,52,75,65
2025-09-01,22,50,78,73
2025-10-01,22,50,74,77
2025-11-01,21,49,94,99
2025-12-01,20,49,83,86
2026-01-01,23,55,100,93
2026-02-01,27,63,91,87
2026-03-01,25,55,96,83
2026-04-01,29,53,90,78
