date,Climbing,Bouldering,La Sportiva,Scarpa
2015-01-01,19,23,21,43
2015-02-01,20,25,20,39
2015-03-01,20,24,22,36
2015-04-01,23,28,17,36
2015-05-01,23,28,18,35
2015-06-01,21,26,19,29
2015-07-01,21,24,19,27
2015-08-01,21,27,23,35
2015-09-01,19,24,21,34
2015-10-01,19,24,24,38
2015-11-01,17,23,26,42
2015-12-01,16,23,23,42
2016-01-01,19,27,27,48
2016-02-01,21,28,24,40
2016-03-01,24,31,26,41
2016-04-01,25,32,25,40
2016-05-01,24,31,24,36
2016-06-01,22,27,21,30
2016-07-01,23,32,23,35
2016-08-01,23,32,24,34
2016-09-01,20,28,24,38
2016-10-01,19,31,25,39
2016-11-01,16,24,30,51
2016-12-01,16,25,28,49
2017-01-01,20,30,29,49
2017-02-01,24,36,32,64
2017-03-01,23,38,30,42
2017-04-01,27,41,28,40
2017-05-01,25,33,30,36
2017-06-01,23,30,23,31
2017-07-01,23,33,24,37
2017-08-01,24,33,26,38
2017-09-01,20,32,27,40
2017-10-01,21,35,29,43
2017-11-01,19,33,33,48
2017-12-01,17,28,33,49
2018-01-01,22,36,33,55
2018-02-01,22,39,32,49
2018-03-01,21,34,33,50
2018-04-01,26,40,32,47
2018-05-01,26,36,27,36
2018-06-01,24,30,27,32
2018-07-01,22,37,23,30
2018-08-01,25,37,30,45
2018-09-01,22,38,34,46
2018-10-01,21,35,29,47
2018-11-01,20,33,36,49
2018-12-01,18,32,31,51
2019-01-01,22,40,34,56
2019-02-01,26,44,35,49
2019-03-01,31,50,38,50
2019-04-01,31,54,39,48
2019-05-01,30,48,36,45
2019-06-01,27,47,37,46
2019-07-01,28,51,39,39
2019-08-01,29,56,38,43
2019-09-01,23,43,37,44
2019-10-01,23,45,38,48
2019-11-01,20,39,40,54
2019-12-01,20,39,42,51
2020-01-01,23,49,41,58
2020-02-01,25,49,40,50
2020-03-01,21,30,28,34
2020-04-01,25,14,22,24
2020-05-01,27,21,25,29
2020-06-01,24,24,27,34
2020-07-01,23,28,34,43
2020-08-01,24,35,40,48
2020-09-01,24,36,42,55
2020-10-01,22,37,39,61
2020-11-01,15,27,35,63
2020-12-01,15,24,39,70
2021-01-01,14,12,37,73
2021-02-01,16,12,32,60
2021-03-01,22,14,31,48
2021-04-01,27,29,35,50
2021-05-01,29,37,43,56
2021-06-01,26,37,36,41
2021-07-01,27,45,35,42
2021-08-01,37,62,38,48
2021-09-01,23,38,35,46
2021-10-01,22,38,40,58
2021-11-01,19,35,39,58
2021-12-01,18,32,46,63
2022-01-01,26,52,66,75
2022-02-01,27,52,59,66
2022-03-01,25,47,54,58
2022-04-01,29,52,51,56
2022-05-01,26,49,52,50
2022-06-01,27,48,43,46
2022-07-01,24,47,44,46
2022-08-01,27,58,41,48
2022-09-01,23,47,48,48
2022-10-01,24,52,50,59
2022-11-01,20,47,49,70
2022-12-01,18,39,51,83
2023-01-01,23,55,58,92
2023-02-01,26,59,51,63
2023-03-01,26,55,55,64
2023-04-01,30,60,57,64
2023-05-01,28,53,56,54
2023-06-01,27,48,48,43
2023-07-01,27,54,49,54
2023-08-01,27,57,52,60
2023-09-01,23,48,51,57
2023-10-01,22,52,53,65
2023-11-01,21,47,63,87
2023-12-01,20,47,57,73
2024-01-01,23,50,68,79
2024-02-01,29,57,69,68
2024-03-01,27,57,67,67
2024-04-01,31,64,70,68
2024-05-01,27,57,62,57
2024-06-01,25,53,54,52
2024-07-01,27,54,59,50
2024-08-01,100,100,64,55
2024-09-01,24,55,72,66
2024-10-01,25,58,70,70
2024-11-01,19,48,70,76
2024-12-01,21,54,70,77
2025-01-01,23,54,79,82
2025-02-01,24,55,76,73
2025-03-01,25,49,83,64
2025-04-01,28,53,75,59
2025-05-01,28,49,69,53
2025-06-01,26,48,63,51
2025-07-01,25,50,66,52
2025-08-01,26,53,76,59
2025-09-01,23,51,79,66
2025-10-01,23,51,74,70
2025-11-01,22,48,94,100
2025-12-01,22,49,83,79
2026-01-01,25,54,100,85
2026-02-01,29,62,92,80
2026-03-01,27,55,97,76
2026-04-01,30,53,91,70
